VMs	exbin	cds1	cds2	cds4	MHcds1	MHcds2	MHcds4	MHNocds
20	97.8683443897054	nan	95.3314182735532	95.8861089769756	nan	96.2949268641802	96.7897281486375	93.4491599232842
21	97.903543591614	nan	95.4820081587207	96.0190017356538	nan	96.4289618903204	96.908651301421	93.6545316123279
22	97.9307948724603	nan	95.447891342055	95.9814957628579	nan	96.3727323429884	96.8504027622388	93.588254147116
23	97.9696859430033	nan	95.3975223276206	95.9277793243476	nan	96.301137173111	96.7767611420441	93.5073750413787
24	97.8109760001141	nan	94.256059935964	95.2397600543041	nan	96.0677615224905	96.6842042311145	93.3880791586746
25	97.8518534429398	nan	94.1770937050148	95.1483254192689	nan	96.0163306880878	96.6273245495502	93.3302141151677
26	97.8289958659584	nan	94.2104837914229	95.1747974126296	nan	96.0328114084306	96.6419584313145	93.3215294287845
27	97.8506833009432	nan	94.1948771985629	95.1512491172171	nan	96.0083642967564	96.6151470004846	93.2780134330326
28	97.873378175797	nan	93.6261864249786	94.5667081895886	nan	96.0362105626731	96.6339747461937	93.3096243149629
29	97.564232793179	nan	90.0735739010504	91.4853002547476	nan	95.8682073538408	96.5313866561328	93.0833224566346
30	97.5913205675244	nan	90.1298230917466	91.529843304382	nan	95.849364379045	96.5105431969052	93.0441514804244
31	97.5912669166013	nan	90.3459702419925	91.7167910906924	nan	95.9181223739304	96.5682207941368	93.1004263438751
32	97.6702127243821	nan	90.9425295644147	92.2227014058798	nan	96.1241288995278	96.7342345479724	93.4261187008947
33	97.6655094968553	nan	90.963152228106	92.2326115382256	nan	96.1205785957191	96.7263953789668	93.4006638960493
34	97.666611162857	nan	90.9561211162408	92.2153925085286	nan	96.1036885357897	96.7059266209975	93.3769971235957
35	97.298415366464	nan	90.7848963749781	92.0615330500185	nan	96.0890937793526	96.6909936964838	93.3397695864432
36	97.4633166106664	nan	90.5377422608601	91.8674129301319	nan	95.9928218031109	96.6218617272596	93.2049982373675
37	97.5443739261977	nan	91.4481110894373	92.6318291479678	nan	96.0731266144804	96.6746671980961	93.2877691037455
38	97.559605625438	nan	91.6351638441994	92.7954008508757	nan	96.1044786470674	96.7031921138993	93.3012300094396
39	97.6016336341368	nan	92.0951342323065	93.1857570263458	nan	96.0568020664532	96.6519368817306	93.1783682613526
40	97.657135746909	nan	92.4733327206021	93.5045315178823	nan	96.0142451938656	96.604120811532	93.0834842103053
41	97.6811426452118	nan	92.8540617103393	93.8312278291309	nan	95.9881688957097	96.5757712554091	93.0066501183435
42	97.7010666875838	nan	93.0610679608246	94.0028346675512	nan	96.0188598232562	96.5976888238564	93.0530663007292
43	97.7231008235193	nan	93.1374520172056	94.0657949764433	nan	96.0102252171721	96.5869771515929	93.0373459390765
44	97.7003254459975	nan	92.6552008819564	93.6599854882113	nan	95.9943137033993	96.5837368385962	93.0482435910319
45	97.6992785677004	nan	92.6941456573522	93.6962190278532	nan	96.0143734402147	96.6034346782682	93.066484951006
46	97.7139608212502	nan	92.796674381416	93.7824297154147	nan	96.001902166086	96.589453253305	93.0393257751907
47	97.7182629424756	nan	92.9739681558626	93.9348648702032	nan	95.9753506887594	96.5640972001789	92.9724448632648
48	97.7384255221512	nan	93.0484096065889	93.99610552292	nan	95.9685886967949	96.5550770853078	92.9601774387065
49	97.7596625091691	nan	93.1918495952636	94.1165956735303	nan	95.9513029592645	96.5355196459242	92.9229302858861
50	97.7612795536558	nan	93.2190957565681	94.1407505315154	nan	95.9592685555205	96.5429993177237	92.9289155543463
51	97.7710028469065	nan	93.3737586018129	94.2691230107329	nan	95.9913705968914	96.5679904645812	92.9785090975944
52	97.7993284086013	nan	93.4535586443072	94.333328875048	nan	95.9712059279834	96.5453377112542	92.9502631947973
53	97.8060380946743	nan	93.5781667642529	94.4394125896168	nan	95.9547815476541	96.5286069920873	92.9084160997012
54	97.8100178873496	nan	93.7184695180089	94.5599109108588	nan	95.9736974707355	96.5429836761636	92.9385857507206
55	97.8112940004376	nan	93.7761361495425	94.6098076441891	nan	95.9683283207933	96.5376876701283	92.923572305068
56	97.8112709040389	nan	93.8109930673537	94.6555611575709	nan	95.9755501652555	96.5483291841952	92.9573094893397
57	97.8130692786973	nan	93.8272164512776	94.6773975134228	nan	95.977357313374	96.5518297848731	92.9738343852002
58	97.8174903679909	nan	93.9036187434702	94.741192008416	nan	95.9646196669882	96.538843684683	92.9410003485744
59	97.8233327031052	nan	93.9414602747858	94.772201715278	nan	95.9567126413679	96.5304752012435	92.922958275759
60	97.8248794914819	nan	93.9557920402001	94.7936383990027	nan	95.9596337541225	96.5352637384329	92.9430380997397
61	97.8266679328434	nan	93.9948375282242	94.826436370713	nan	95.9607617587905	96.5354509372972	92.9427263912468
62	97.8305305222565	nan	94.0487385676548	94.8692833053882	nan	95.9760438099381	96.5471340770222	92.9666722469966
63	97.8417260195309	nan	94.0830781673972	94.8970806057813	nan	95.9712400802996	96.5413498165131	92.9544737359665
64	97.839965180827	nan	94.0929836243349	94.916703462854	nan	95.9767671887175	96.5495300904455	92.9793032881104
65	97.8381344383635	nan	94.1222777390742	94.9415168456192	nan	95.9705110418412	96.5438661766149	92.961952544042
66	97.8386434232511	nan	94.1243114506388	94.9491895917008	nan	95.9722109835071	96.5469625419764	92.9756153118713
67	97.8357836020543	nan	94.1550549010986	94.9750645462274	nan	95.9644247887602	96.5398800815447	92.9543044676111
68	97.8389683277883	nan	94.2263775425058	95.0343258668618	nan	95.9665298950607	96.5400528097487	92.9531407989642
69	97.8455944393118	nan	94.2543519873464	95.05705519281	nan	95.9610104574212	96.5341904408629	92.9384250331064
70	97.8457107641701	nan	94.2865008573953	95.0840327017231	nan	95.9570836225459	96.5302237397845	92.9265585621654
71	97.8459886533441	nan	94.2813804884495	95.087789076997	nan	95.9599494322624	96.5349696583867	92.9461995438676
72	97.8473782150128	nan	94.3163410162176	95.1165934966216	nan	95.961471523856	96.5354367555062	92.9455842957024
73	97.8326225589756	nan	94.0952362150452	94.9273546464917	nan	95.9566112156637	96.5352256912662	92.9527622924814
74	97.8176338630773	nan	93.8623988678046	94.7279718588068	nan	95.9542209771819	96.5372747569446	92.9619325424067
75	97.8168146874399	nan	93.8777524510775	94.7424062979965	nan	95.9639257520159	96.5468236980855	92.9708929006705
76	97.8160129508821	nan	93.9057313545667	94.7658732667352	nan	95.9573408427416	96.5406582209673	92.9537799376671
77	97.8206813448637	nan	93.9684538661368	94.815314891921	nan	95.9742355867316	96.5532561068749	92.9795851824315
78	97.8214612950923	nan	93.9995605313312	94.8414673561235	nan	95.9790160596756	96.556735757035	92.9864543761336
79	97.8223351614618	nan	94.0054013578567	94.850731191888	nan	95.9798937009135	96.5584825098593	92.9951732729764
80	97.8239215015558	nan	94.0264993275636	94.8672698416709	nan	95.9856393891755	96.562752157974	93.0038477195607
81	97.8283664795517	nan	94.0498740404673	94.8860822364813	nan	95.9805837724669	96.5572248855106	92.9928389360231
82	97.8287489365875	nan	94.0758639579937	94.9078807727762	nan	95.9775037317249	96.5540565077572	92.9836142042623
83	97.83460180127	nan	94.0899556429203	94.9187529796386	nan	95.9751161282803	96.5510114561652	92.9792039983099
84	97.8373401645579	nan	94.1286124943948	94.9490064665692	nan	95.9864352142765	96.5595343378148	92.9965420513252
85	97.8387773141159	nan	94.1085763886621	94.9337609027634	nan	95.9884201911797	96.5625029256009	93.0090273695026
86	97.8407745324296	nan	94.1509293413064	94.9672268197497	nan	96.0020053157766	96.573177213242	93.0289329892968
87	97.8447198958744	nan	94.1645417052199	94.9782458378234	nan	95.9994571638393	96.5703733801587	93.0220454803138
88	97.8507703751896	nan	94.175527302141	94.9863273419704	nan	95.9945204518661	96.5648971823567	93.0147955795895
89	97.853966500541	nan	94.1922307595414	94.999782296837	nan	95.9903625466869	96.5604516817395	93.0058528625023
90	97.8536569675829	nan	94.1971070161397	95.0044016715082	nan	95.9936025077514	96.5636509532774	93.0088346405777
91	97.8517953996676	nan	94.2205007687693	95.0242270595406	nan	95.9878335472158	96.5584502770812	92.9931744999702
92	97.8555530525107	nan	94.2311294575139	95.0326968731308	nan	95.9860451290827	96.5563210593955	92.9886619553276
93	97.8569810627473	nan	94.2375952739203	95.0381379940694	nan	95.9868264005542	96.5569057970179	92.9886620928402
94	97.8562126092792	nan	94.2494920342962	95.0494184350701	nan	95.9948068934223	96.564786187656	92.9960380336807
95	97.8565648434114	nan	94.2574225732462	95.0564660932682	nan	95.9980570603276	96.5678786994167	92.9983384569274
96	97.8586620944936	nan	94.2679229809426	95.0648871896926	nan	95.9952299646608	96.564863188169	92.9924725536072
97	97.8592429201308	nan	94.2836348408907	95.0772346875413	nan	96.0008430265742	96.569312258783	93.0010404691031
98	97.8576344209506	nan	94.2963826941081	95.08803597698	nan	95.9967912904743	96.5656708142616	92.9905825934509
99	97.8612002188806	nan	94.3314240871555	95.1147589972025	nan	96.0064764415408	96.5723883085005	93.0070283980888
100	97.8608673570692	nan	94.3364238917432	95.1195116826374	nan	96.009872092548	96.5757451454036	93.0101666185019
101	97.8575282137712	nan	94.2769829049839	95.0687766730296	nan	96.0118731970892	96.5785209438142	93.0174516426769
102	97.8580092985447	nan	94.2914811349528	95.0809006197807	nan	96.0118537598785	96.5781648521865	93.0165505706142
103	97.8579240609535	nan	94.2898972594326	95.0818342231444	nan	96.0119157500552	96.5788455462215	93.0208937402271
104	97.8591845833601	nan	94.3023897675307	95.0913753362258	nan	96.015177775332	96.5810777656381	93.0263805893142
105	97.8625610883421	nan	94.3132243792193	95.100131497927	nan	96.0127647380588	96.5784837160482	93.0202119345744
